Designator,Mid X,Mid Y,Rotation,Layer
_6,118.907959,-127.817481,0.0,top
_5,104.883274,-145.353628,0.0,top
_4,104.753173,-139.629183,0.0,top
_3,112.088713,-162.154958,0.0,top
_2,100.025,-144.8,0.0,top
,116.36811,-127.803677,0.0,top
C1,111.45,-144.55,180.0,top
C11,121.682667,-151.265817,270.0,top
C12,127.35,-141.35,270.0,top
C13,129.85,-141.4,270.0,top
C14,132.5,-148.5,0.0,top
C15,105.321195,-142.495546,270.0,top
C16,105.995,-148.0,0.0,top
C17,129.85,-138.375,270.0,top
C18,127.35,-138.35,270.0,top
C2,122.625,-146.65,0.0,top
C20,124.75,-138.3,270.0,top
C21,124.75,-141.325,270.0,top
C22,122.25,-138.325,270.0,top
C23,122.25,-141.325,270.0,top
C3,121.925,-144.85,0.0,top
C4,106.025,-150.25,0.0,top
C5,119.075,-153.875,0.0,top
C6,114.78022,-134.155998,180.0,top
D1,135.808666,-148.826421,0.0,top
D2,126.51212,-161.063808,25.0,top
D3,118.662499,-158.9,180.0,top
D6,108.5,-142.5,270.0,top
D7,108.975,-160.85,155.0,top
D8,99.989352,-143.666218,90.0,top
D9,119.125,-157.2,0.0,top
FB1,128.725,-145.075,90.0,top
FB2,126.325,-145.050001,90.0,top
FB3,124.325,-135.15,0.0,top
FB4,119.7,-135.125,0.0,top
FB5,123.7,-156.575,90.0,top
FB6,123.7,-156.1,270.0,bottom
J2,117.73,-131.5,270.0,top
J3,137.0,-143.46,0.0,top
J4,133.625,-143.46,0.0,top
J5,118.553561,-162.11507,90.0,top
J6,125.27,-127.757222,90.0,top
J7,108.995,-127.5,90.0,top
Q1,111.365,-140.825,90.0,top
Q2,125.6,-151.24,0.0,top
R1,116.0,-137.5,90.0,top
R10,115.175,-159.0,0.0,top
R11,119.426516,-151.306642,90.0,top
R12,112.196677,-158.996702,180.0,top
R4,131.046011,-150.297842,0.0,top
R5,127.2,-148.65,0.0,top
R8,107.0,-138.5,90.0,top
R9,110.490827,-133.46202,270.0,top
U1,117.03,-145.0,90.0,top
U3,112.75,-153.5125,0.0,top
Y1,111.0,-147.2,90.0,top
